URL,Key,Column,Real Value,Response,Correct,Prompt,Context Response,Context Correct
https://en.wikipedia.org/wiki/1990_Ben_Hogan_Tour,Ben Hogan New England Classic,Location,Maine,Ellington Fields,0,What is the value of 'Location' where 'Tournament' is 'Ben Hogan New England Classic'?,,NA
https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_knockout_stage,A B D E,Italy (A1) plays vs.:,D3,Uruguay,0,What is the value of 'Italy (A1) plays vs.:' where 'Third teams qualify from groups:' is 'A B D E'?,,NA
https://en.wikipedia.org/wiki/1990_PGA_Tour_of_Australia,Victorian Open,Location,Victoria,Victoria Golf Club,0,What is the value of 'Location' where 'Tournament' is 'Victorian Open'?,,NA
https://en.wikipedia.org/wiki/1991%E2%80%9392_Southern_Africa_Tour,Spoornet Classic,Location,Cape,Johannesburg,0,What is the value of 'Location' where 'Tournament' is 'Spoornet Classic'?,,NA
https://en.wikipedia.org/wiki/1991_Ben_Hogan_Tour,Ben Hogan Connecticut Open,Location,Connecticut,Ellington,0,What is the value of 'Location' where 'Tournament' is 'Ben Hogan Connecticut Open'?,,NA
https://en.wikipedia.org/wiki/1991_NCAA_Division_I_women%27s_basketball_tournament,Oklahoma,Bids,1,1,1,What is the value of 'Bids' where 'State' is 'Oklahoma'?,,NA
https://en.wikipedia.org/wiki/1991_PGA_Tour_of_Australasia,Mercedes-Benz Australian Match Play Championship,Location,Victoria,Royal Melbourne,0,What is the value of 'Location' where 'Tournament' is 'Mercedes-Benz Australian Match Play Championship'?,,NA
https://en.wikipedia.org/wiki/1992%E2%80%9393_Southern_Africa_Tour,EVS South African Masters,Location,Transvaal,Sun City,0,What is the value of 'Location' where 'Tournament' is 'EVS South African Masters'?,,NA
https://en.wikipedia.org/wiki/1992_NCAA_Division_I_women%27s_basketball_tournament,Louisiana,Bids,1,1,1,What is the value of 'Bids' where 'State' is 'Louisiana'?,,NA
https://en.wikipedia.org/wiki/1992_PGA_Tour_of_Australasia,Club Cape Schanck Cup,Location,Victoria,"Cape Schanck, Victoria, Australia",0,What is the value of 'Location' where 'Tournament' is 'Club Cape Schanck Cup'?,,NA
https://en.wikipedia.org/wiki/1993%E2%80%9394_Southern_Africa_Tour,Autopage Mount Edgecombe Trophy,Location,Natal,Mount Edgecombe,0,What is the value of 'Location' where 'Tournament' is 'Autopage Mount Edgecombe Trophy'?,,NA
https://en.wikipedia.org/wiki/1993_NCAA_Division_I_women%27s_basketball_tournament,South Carolina,Bids,1,1,1,What is the value of 'Bids' where 'State' is 'South Carolina'?,,NA
https://en.wikipedia.org/wiki/1994_Commonwealth_Games,Cyprus,Rank,15,24,0,What is the value of 'Rank' where 'Nation' is 'Cyprus'?,,NA
