URL,Key,Column,Response,Actual Result,Correct,Prompt,Context Response,Context Correct
https://en.wikipedia.org/wiki/1990_Ben_Hogan_Tour,"Ben Hogan New England Classic,Ben Hogan Greater Ozarks Open,Ben Hogan Knoxville Open",Purse (US$),Ben Hogan Greater Ozarks Open,Ben Hogan New England Classic,0,"Which 'Tournament' has lower 'Purse (US$)', 'Ben Hogan New England Classic', 'Ben Hogan Greater Ozarks Open' or 'Ben Hogan Knoxville Open'?",,0
https://en.wikipedia.org/wiki/1990_PGA_Tour_of_Australia,"Victorian Open,New South Wales Open,Monro Interiors Nedlands Masters",OWGR points,New South Wales Open,New South Wales Open,1,"Which 'Tournament' has lower 'OWGR points', 'Victorian Open', 'New South Wales Open' or 'Monro Interiors Nedlands Masters'?",,0
https://en.wikipedia.org/wiki/1991%E2%80%9392_Southern_Africa_Tour,"Spoornet Classic,Hollard Royal Swazi Sun Classic,Trustbank Tournament of Champions",Purse (R),Spoornet Classic,Spoornet Classic,1,"Which 'Tournament' has lower 'Purse (R)', 'Spoornet Classic', 'Hollard Royal Swazi Sun Classic' or 'Trustbank Tournament of Champions'?",,0
https://en.wikipedia.org/wiki/1991_Ben_Hogan_Tour,"Ben Hogan Connecticut Open,Ben Hogan Tulsa Open,Ben Hogan South Carolina Classic",Purse (US$),Ben Hogan South Carolina Classic,Ben Hogan Connecticut Open,0,"Which 'Tournament' has lower 'Purse (US$)', 'Ben Hogan Connecticut Open', 'Ben Hogan Tulsa Open' or 'Ben Hogan South Carolina Classic'?",,0
https://en.wikipedia.org/wiki/1991_NCAA_Division_I_women%27s_basketball_tournament,"Oklahoma,Virginia,Massachusetts",Bids,Massachusetts,Oklahoma,0,"Which 'State' has lower 'Bids', 'Oklahoma', 'Virginia' or 'Massachusetts'?",,0
https://en.wikipedia.org/wiki/1991_PGA_Tour_of_Australasia,"Mercedes-Benz Australian Match Play Championship,Ford Australian PGA Championship,AMP New Zealand Open",OWGR points,Mercedes-Benz Australian Match Play Championship,Mercedes-Benz Australian Match Play Championship,1,"Which 'Tournament' has lower 'OWGR points', 'Mercedes-Benz Australian Match Play Championship', 'Ford Australian PGA Championship' or 'AMP New Zealand Open'?",,0
https://en.wikipedia.org/wiki/1992%E2%80%9393_Southern_Africa_Tour,"EVS South African Masters,Bell's Cup,Philips South African Open",Purse (R),Bell's Cup,Bell's Cup,1,"Which 'Tournament' has lower 'Purse (R)', 'EVS South African Masters', 'Bell's Cup' or 'Philips South African Open'?",,0
https://en.wikipedia.org/wiki/1992_NCAA_Division_I_women%27s_basketball_tournament,"Louisiana,Nebraska,Colorado",Bids,Nebraska,Louisiana,0,"Which 'State' has lower 'Bids', 'Louisiana', 'Nebraska' or 'Colorado'?",,0
https://en.wikipedia.org/wiki/1992_PGA_Tour_of_Australasia,"Club Cape Schanck Cup,Ford Australian PGA Championship,CIG New South Wales Open",OWGR points,Club Cape Schanck Cup,CIG New South Wales Open,0,"Which 'Tournament' has lower 'OWGR points', 'Club Cape Schanck Cup', 'Ford Australian PGA Championship' or 'CIG New South Wales Open'?",,0
https://en.wikipedia.org/wiki/1993%E2%80%9394_Southern_Africa_Tour,"Autopage Mount Edgecombe Trophy,Phillips South African Open,Telkom South African Masters",Purse (R),Autopage Mount Edgecombe Trophy,Autopage Mount Edgecombe Trophy,1,"Which 'Tournament' has lower 'Purse (R)', 'Autopage Mount Edgecombe Trophy', 'Phillips South African Open' or 'Telkom South African Masters'?",,0
https://en.wikipedia.org/wiki/1993_NCAA_Division_I_women%27s_basketball_tournament,"South Carolina,Maryland,Montana",Bids,Montana,South Carolina,0,"Which 'State' has lower 'Bids', 'South Carolina', 'Maryland' or 'Montana'?",,0
https://en.wikipedia.org/wiki/1994_Commonwealth_Games,"Cyprus,Papua New Guinea,Nigeria",Rank,Nigeria,Nigeria,1,"Which 'Nation' has lower 'Rank', 'Cyprus', 'Papua New Guinea' or 'Nigeria'?",,0
https://en.wikipedia.org/wiki/1994_Nike_Tour,"Nike Boise Open,Nike Wichita Open,Nike Ozarks Open",Purse (US$),Nike Ozarks Open,Nike Wichita Open,0,"Which 'Tournament' has lower 'Purse (US$)', 'Nike Boise Open', 'Nike Wichita Open' or 'Nike Ozarks Open'?",,0
https://en.wikipedia.org/wiki/1995_Asian_PGA_Tour,"Langkawi Open,Volvo Masters of Thailand,Gadgil Western Vietnam Open",Purse (US$),Langkawi Open,Volvo Masters of Thailand,0,"Which 'Tournament' has lower 'Purse (US$)', 'Langkawi Open', 'Volvo Masters of Thailand' or 'Gadgil Western Vietnam Open'?",,0
https://en.wikipedia.org/wiki/1995_Canadian_Tour,"Morningstar Classic,Henry Singer Alberta Open,Klondike Klassic",Purse (C$),Klondike Klassic,Morningstar Classic,0,"Which 'Tournament' has lower 'Purse (C$)', 'Morningstar Classic', 'Henry Singer Alberta Open' or 'Klondike Klassic'?",,0
https://en.wikipedia.org/wiki/1995_NCAA_Division_I_women%27s_basketball_tournament,"Oklahoma,Colorado,Florida",Bids,Colorado,Colorado,1,"Which 'State' has lower 'Bids', 'Oklahoma', 'Colorado' or 'Florida'?",,0
https://en.wikipedia.org/wiki/1995_Nike_Tour,"Nike Philadelphia Classic,Nike Dakota Dunes Open,Nike Central Georgia Open",Purse (US$),Nike Central Georgia Open,Nike Philadelphia Classic,0,"Which 'Tournament' has lower 'Purse (US$)', 'Nike Philadelphia Classic', 'Nike Dakota Dunes Open' or 'Nike Central Georgia Open'?",,0
https://en.wikipedia.org/wiki/1996_Cricket_World_Cup_statistics,"Aravinda de Silva,Brian Lara,Hansie Cronje",Runs,Brian Lara,Brian Lara,1,"Which 'Players' has lower 'Runs', 'Aravinda de Silva', 'Brian Lara' or 'Hansie Cronje'?",,0
https://en.wikipedia.org/wiki/1996_NCAA_Division_I_women%27s_basketball_tournament,"Mississippi,Illinois,Virginia",Bids,Mississippi,Illinois,0,"Which 'State' has lower 'Bids', 'Mississippi', 'Illinois' or 'Virginia'?",,0
https://en.wikipedia.org/wiki/1996_Nike_Tour,"Nike Ozarks Open,Nike Wichita Open,Nike Miami Valley Open",Purse (US$),Nike Ozarks Open,Nike Ozarks Open,1,"Which 'Tournament' has lower 'Purse (US$)', 'Nike Ozarks Open', 'Nike Wichita Open' or 'Nike Miami Valley Open'?",,0
https://en.wikipedia.org/wiki/1997_NCAA_Division_I_women%27s_basketball_tournament,"South Carolina,Alabama,Maryland",Bids,South Carolina,South Carolina,1,"Which 'State' has lower 'Bids', 'South Carolina', 'Alabama' or 'Maryland'?",,0
https://en.wikipedia.org/wiki/1997_Nike_Tour,"Nike Hershey Open,Nike Permian Basin Open,Nike Dakota Dunes Open",Purse (US$),Nike Dakota Dunes Open,Nike Hershey Open,0,"Which 'Tournament' has lower 'Purse (US$)', 'Nike Hershey Open', 'Nike Permian Basin Open' or 'Nike Dakota Dunes Open'?",,0
https://en.wikipedia.org/wiki/1997_PGA_Tour,"Davis Love III,Brad Faxon,Greg Norman",Position,Greg Norman,Davis Love III,0,"Which 'Player' has lower 'Position', 'Davis Love III', 'Brad Faxon' or 'Greg Norman'?",,0
https://en.wikipedia.org/wiki/1998_NCAA_Division_I_women%27s_basketball_tournament,"Ohio,Georgia,Virginia",Bids,Georgia,Georgia,1,"Which 'State' has lower 'Bids', 'Ohio', 'Georgia' or 'Virginia'?",,0
https://en.wikipedia.org/wiki/1998_Nike_Tour,"Nike St. Louis Golf Classic,Nike Ozarks Open,Nike Dominion Open",Purse (US$),Nike Ozarks Open,Nike St. Louis Golf Classic,0,"Which 'Tournament' has lower 'Purse (US$)', 'Nike St. Louis Golf Classic', 'Nike Ozarks Open' or 'Nike Dominion Open'?",,0
https://en.wikipedia.org/wiki/1999%E2%80%932000_NCAA_football_bowl_games,"Alabama,Michigan,Wisconsin",Rank,Wisconsin,Alabama,0,"Which 'Team' has lower 'Rank', 'Alabama', 'Michigan' or 'Wisconsin'?",,0
https://en.wikipedia.org/wiki/1999_Canadian_Tour,"Henry Singer Alberta Open,Ontario Open Heritage Classic,MTS Classic",Purse (C$),MTS Classic,Ontario Open Heritage Classic,0,"Which 'Tournament' has lower 'Purse (C$)', 'Henry Singer Alberta Open', 'Ontario Open Heritage Classic' or 'MTS Classic'?",,0
https://en.wikipedia.org/wiki/1999_Nike_Tour,"Nike Wichita Open,Nike Fort Smith Classic,Nike Dominion Open",Purse (US$),Nike Dominion Open,Nike Wichita Open,0,"Which 'Tournament' has lower 'Purse (US$)', 'Nike Wichita Open', 'Nike Fort Smith Classic' or 'Nike Dominion Open'?",,0
https://en.wikipedia.org/wiki/2000_Canadian_Tour,"Telus Edmonton Open,Telus Calgary Open,MTS Classic",OWGR points,MTS Classic,Telus Edmonton Open,0,"Which 'Tournament' has lower 'OWGR points', 'Telus Edmonton Open', 'Telus Calgary Open' or 'MTS Classic'?",,0
https://en.wikipedia.org/wiki/2001_PGA_Tour,"Williams World Challenge,Franklin Templeton Shootout,Ryder Cup",Purse ($),Ryder Cup,Franklin Templeton Shootout,0,"Which 'Tournament' has lower 'Purse ($)', 'Williams World Challenge', 'Franklin Templeton Shootout' or 'Ryder Cup'?",,0
https://en.wikipedia.org/wiki/2002%E2%80%9303_snooker_season,"John Higgins,Quinten Hann,Matthew Stevens",Points 2000/01,Quinten Hann,Quinten Hann,1,"Which 'Player' has lower 'Points 2000/01', 'John Higgins', 'Quinten Hann' or 'Matthew Stevens'?",,0
