Symbol,Name,Fireworks usage
Al,Aluminium,Aluminium metal is used to produce silver and white flames and sparks. It is a common component of sparklers.
Ba,Barium,"Barium salts are used to create green colors in fireworks, and it can also help stabilize other volatile elements."
C,Carbon,"Carbon is one of the main components of black powder, which is used as a propellent in fireworks. Carbon provides the fuel for a firework. Common forms include carbon black, sugar, or starch."
Cl,Chlorine,Chlorate and perchlorates are common oxidizers.
Cu,Copper,Copper compounds produce blue colors.
Fe,Iron,Iron powder is used to produce sparks in sparklers.
K,Potassium,"Potassium nitrate, potassium chlorate, and potassium perchlorate are common oxidizers. The potassium content imparts a faint violet color to the sparks."
Mg,Magnesium,"Magnesium metal burns a very bright white, so it is used to add white sparks or improve the overall brilliance of a firework."
Na,Sodium,"Sodium imparts a gold or yellow color to fireworks, however, the color is often so bright that it frequently masks other, less intense colors. Sodium lamps operate with the same optical emission."
O,Oxygen,"Oxygen is a component of chlorate and perchlorate, common oxidizers."
S,Sulfur,"Sulfur is a component of black powder, and as such, it is found in a propellant/fuel."
Sr,Strontium,Strontium salts impart a red color.
Ti,Titanium,Titanium metal can be burned as powder or flakes to produce silver sparks.
Zr,Zirconium,"Zirconium, like titanium, burns to produce oxides that emit brightly. It is used in waterfalls."
