URL,Key,Response,actual_result,correct,With keys,Prompt,Context Response,Context Correct
https://en.wikipedia.org/wiki/1990_Ben_Hogan_Tour,Purse (US$),35000,"['Ben Hogan Bakersfield Open', 'Ben Hogan Yuma Open', 'Ben Hogan South Texas Open', 'Ben Hogan Baton Rouge Open', 'Ben Hogan Gulf Coast Classic', 'Ben Hogan Panama City Beach Classic', 'Ben Hogan Lake City Classic', 'Ben Hogan Pensacola Open', 'Ben Hogan Gateway Open', 'Ben Hogan Macon Open', 'Ben Hogan Knoxville Open', 'Ben Hogan Elizabethtown Open', 'Ben Hogan Quail Hollow Open', 'Ben Hogan Fort Wayne Open', 'Ben Hogan Central New York Classic', 'Ben Hogan New Haven Open', 'Ben Hogan New England Classic', 'Ben Hogan Buffalo Open', 'Ben Hogan Dakota Dunes Open', 'Ben Hogan Kansas City Classic', 'Ben Hogan Greater Ozarks Open', 'Ben Hogan Reflection Ridge', 'Ben Hogan Texarkana Open', 'Ben Hogan Amarillo Open', 'Ben Hogan Utah Classic', 'Ben Hogan Boise Open', 'Ben Hogan Reno Open', 'Ben Hogan Santa Rosa Open', 'Ben Hogan El Paso Open']",-1,0,Which 'Tournament' has the minimum value in the 'Purse (US$)' column ?,,NA
https://en.wikipedia.org/wiki/1990_PGA_Tour_of_Australia,OWGR points,6,"['Mercedes-Benz Australian Match Play Championship', 'Monro Interiors Nedlands Masters', 'New South Wales Open', 'Air New Zealand Shell Open', 'West End South Australian Open', 'Coolum Classic']",-1,0,Which 'Tournament' has the minimum value in the 'OWGR points' column ?,,NA
https://en.wikipedia.org/wiki/1991%E2%80%9392_Southern_Africa_Tour,Purse (R),300000,"['Goodyear Classic', 'Spoornet Classic', 'ICL International', 'Hollard Royal Swazi Sun Classic']",-1,0,Which 'Tournament' has the minimum value in the 'Purse (R)' column ?,,NA
https://en.wikipedia.org/wiki/1991_Ben_Hogan_Tour,Purse (US$),100000,"['Ben Hogan Bakersfield Open', 'Ben Hogan Yuma Open', 'Ben Hogan South Texas Open', 'Ben Hogan Panama City Beach Classic', 'Ben Hogan Gateway Open', 'Ben Hogan Pensacola Open', 'Ben Hogan Macon Open', 'Ben Hogan Knoxville Open', 'Ben Hogan Elizabethtown Open', 'Ben Hogan Fort Wayne Open', 'Ben Hogan New England Classic', 'Ben Hogan Connecticut Open', 'Ben Hogan Reno Open', 'Ben Hogan Utah Classic', 'Ben Hogan Santa Rosa Open']",-1,0,Which 'Tournament' has the minimum value in the 'Purse (US$)' column ?,,NA
https://en.wikipedia.org/wiki/1991_NCAA_Division_I_women%27s_basketball_tournament,Bids,26,"['Alabama', 'Arkansas', 'District of Columbia', 'Florida', 'Georgia', 'Indiana', 'Iowa', 'Maryland', 'Massachusetts', 'Michigan', 'Mississippi', 'Missouri', 'Montana', 'Nevada', 'New Jersey', 'Ohio', 'Oklahoma', 'Pennsylvania', 'Rhode Island', 'Utah']",-1,0,Which 'State' has the minimum value in the 'Bids' column ?,,NA
https://en.wikipedia.org/wiki/1991_PGA_Tour_of_Australasia,OWGR points,6,"['Rothmans Malaysian Masters', 'Perak Masters', 'Pioneer Singapore PGA Championship']",-1,0,Which 'Tournament' has the minimum value in the 'OWGR points' column ?,,NA
https://en.wikipedia.org/wiki/1992%E2%80%9393_Southern_Africa_Tour,Purse (R),150000,"['Goodyear Classic', 'Hollard Royal Swazi Sun Classic']",-1,0,Which 'Tournament' has the minimum value in the 'Purse (R)' column ?,,NA
https://en.wikipedia.org/wiki/1992_NCAA_Division_I_women%27s_basketball_tournament,Bids,"Alaska, Alabama, Arizona, Arkansas, Delaware, Hawaii, Idaho, Iowa, Maine, Mississippi, Montana, Nebraska, Nevada, New Hampshire, New Mexico, North Dakota, Oklahoma, Oregon, Rhode Island, South Dakota, Utah, Vermont, Wyoming 
all have 
1","['Alabama', 'Arizona', 'Colorado', 'Connecticut', 'District of Columbia', 'Florida', 'Iowa', 'Kansas', 'Kentucky', 'Louisiana', 'Maryland', 'Missouri', 'Montana', 'Nebraska', 'North Carolina', 'Ohio', 'Pennsylvania', 'Rhode Island', 'South Carolina', 'Vermont', 'West Virginia', 'Wisconsin']",-1,0,Which 'State' has the minimum value in the 'Bids' column ?,,NA
https://en.wikipedia.org/wiki/1992_PGA_Tour_of_Australasia,OWGR points,6,['Pioneer Singapore PGA Championship'],-1,0,Which 'Tournament' has the minimum value in the 'OWGR points' column ?,,NA
https://en.wikipedia.org/wiki/1993%E2%80%9394_Southern_Africa_Tour,Purse (R),150000,['Zimbabwe Open'],-1,0,Which 'Tournament' has the minimum value in the 'Purse (R)' column ?,,NA
https://en.wikipedia.org/wiki/1993_NCAA_Division_I_women%27s_basketball_tournament,Bids,26,"['Colorado', 'Connecticut', 'District of Columbia', 'Iowa', 'Kansas', 'Louisiana', 'Maryland', 'Missouri', 'Montana', 'Nebraska', 'North Carolina', 'Oklahoma', 'Pennsylvania', 'South Carolina', 'Utah', 'Vermont', 'Washington']",-1,0,Which 'State' has the minimum value in the 'Bids' column ?,,NA
https://en.wikipedia.org/wiki/1994_Commonwealth_Games,Rank,24,['Australia'],-1,0,Which 'Nation' has the minimum value in the 'Rank' column ?,,NA
https://en.wikipedia.org/wiki/1994_Nike_Tour,Purse (US$),150000,"['Nike Louisiana Open', 'Nike Mississippi Gulf Coast Classic', 'Nike Panama City Beach Classic', 'Nike Shreveport Open', 'Nike South Carolina Classic', 'Nike Central Georgia Open', 'Nike Greater Greenville Classic', 'Nike Wichita Open', 'Nike Permian Basin Open', 'Nike New Mexico Charity Classic', 'Nike Utah Classic', 'Nike Tri-Cities Open', 'Nike Sonoma County Open']",-1,0,Which 'Tournament' has the minimum value in the 'Purse (US$)' column ?,,NA
https://en.wikipedia.org/wiki/1995_Asian_PGA_Tour,Purse (US$),100000,['Volvo Masters of Thailand'],-1,0,Which 'Tournament' has the minimum value in the 'Purse (US$)' column ?,,NA
https://en.wikipedia.org/wiki/1995_Canadian_Tour,Purse (C$),"30,000","['Payless Open', 'Morningstar Classic', 'Henry Singer Alberta Open', 'Klondike Klassic', 'Xerox Manitoba Open', 'Export ""A"" Inc. Ontario Open']",-1,0,Which 'Tournament' has the minimum value in the 'Purse (C$)' column ?,,NA
